id,type,name,category,sponsored,availability,rent,price,modified,created,address,latitude,longitude,size,full_name,keywords,reduced
13608,PROPERTY,G2,RW,true,To Let,,,2021-01-20T17:18:36,2016-02-04T17:26:02,"Marshall Lake Road, Solihull | B90 4LD",52.4000015,-1.8177,16691,"G2, Solihull Retail Park","marshall lake road, solihull | b90 4ld,g2, solihull retail park,"
14196,PROPERTY,Unit 2A,RW,true,Under Offer,,,2020-12-16T13:30:16,2013-09-19T12:26:38,"Wolverhampton St, Walsall | WS2 8LL",52.5868988,-1.9886,5017,"Unit 2A, Crown Wharf","wolverhampton st, walsall | ws2 8ll,unit 2a, crown wharf,"
14197,PROPERTY,Unit 2B,RW,true,Under Offer,,,2020-12-16T13:30:16,2013-09-19T12:26:59,"Wolverhampton St, Walsall | WS2 8LL",52.5868988,-1.9886,5000,"Unit 2B, Crown Wharf","wolverhampton st, walsall | ws2 8ll,unit 2b, crown wharf,"
14199,PROPERTY,Unit 5,RW,true,Under Offer,,,2020-12-16T13:30:16,2010-09-19T10:38:37,"Wolverhampton St, Walsall | WS2 8LL",52.5868988,-1.9886,10002,"Unit 5, Crown Wharf","wolverhampton st, walsall | ws2 8ll,unit 5, crown wharf,"
14201,PROPERTY,Unit 7-8,RW,true,To Let,,,2020-12-16T13:30:16,2010-09-19T10:38:37,"Wolverhampton St, Walsall | WS2 8LL",52.5868988,-1.9886,20138,"Unit 7-8, Crown Wharf","wolverhampton st, walsall | ws2 8ll,unit 7-8, crown wharf,"
14204,PROPERTY,Unit 11,RW,true,To Let,,,2020-12-16T13:30:16,2010-09-19T10:38:37,"Wolverhampton St, Walsall | WS2 8LL",52.5868988,-1.9886,10012,"Unit 11, Crown Wharf","wolverhampton st, walsall | ws2 8ll,unit 11, crown wharf,"
14205,PROPERTY,Unit 12,RW,true,Under Offer,,,2020-12-16T13:30:16,2012-08-24T16:49:04,"Wolverhampton St, Walsall | WS2 8LL",52.5868988,-1.9886,14140,"Unit 12, Crown Wharf","wolverhampton st, walsall | ws2 8ll,unit 12, crown wharf,"
14211,PROPERTY,Unit 16,RW,true,To Let,,,2020-12-16T13:30:16,2011-02-08T16:33:50,"Wolverhampton St, Walsall | WS2 8LL",52.5868988,-1.9886,4005,"Unit 16, Crown Wharf","wolverhampton st, walsall | ws2 8ll,unit 16, crown wharf,"
14255,PROPERTY,9B,RW,false,To Let,60000,,2021-02-02T12:01:25,2016-06-08T16:43:55,"Lombard Street, West Bromwich | B70 7NJ",52.5201988,-1.9946001,5977,"9B, Astle Retail Park","lombard street, west bromwich | b70 7nj,9b, astle retail park,"
14326,PROPERTY,B1,RW,true,To Let,,,2021-03-11T15:38:52,2016-04-21T11:49:02,"Wednesfield Way, Wolverhampton | WV11 1BP",52.5971909,-2.0882215,13525,"B1, Bentley Bridge Retail Park","wednesfield way, wolverhampton | wv11 1bp,b1, bentley bridge retail park,"
14329,PROPERTY,B5,RW,true,To Let,,,2021-03-11T15:38:52,2014-09-02T15:22:26,"Wednesfield Way, Wolverhampton | WV11 1BP",52.5971909,-2.0882215,7251,"B5, Bentley Bridge Retail Park","wednesfield way, wolverhampton | wv11 1bp,b5, bentley bridge retail park,"
14330,PROPERTY,B6,RW,true,To Let,,,2021-03-11T15:38:52,2014-09-02T15:22:04,"Wednesfield Way, Wolverhampton | WV11 1BP",52.5971909,-2.0882215,7907,"B6, Bentley Bridge Retail Park","wednesfield way, wolverhampton | wv11 1bp,b6, bentley bridge retail park,"
25918,PROPERTY,2A,LE,false,To Let,,,2020-10-16T12:38:28,2010-02-03T11:09:31,"Wednesfield Way, Wolverhampton | W11 1TZ",52.5962982,-2.0929,4156,"2A, Bentley Bridge Leisure Park","wednesfield way, wolverhampton | w11 1tz,2a, bentley bridge leisure park,"
27133,PROPERTY,263 Beeches Road,HS,false,Under Offer,4750,,2017-02-13T07:54:31,2010-03-30T10:04:09,"263 Beeches Road, Birmingham | B42 2QS",52.5392914,-1.9037966,592,263 Beeches Road,"263 beeches road, birmingham | b42 2qs,263 beeches road,"
27135,PROPERTY,52b Lozells Road,HS,false,Under Offer,7000,,2017-02-13T07:54:31,2010-03-30T10:13:40,"52b Lozells Road, Birmingham | B19 2TJ",52.5024986,-1.9035231,1120,52b Lozells Road,"52b lozells road, birmingham | b19 2tj,52b lozells road,"
27139,PROPERTY,1067 Yardley Wood Road,HS,false,Under Offer,6000,,2017-02-13T07:54:31,2010-03-24T17:42:37,"1067 Yardley Wood Road, Birmingham | B14 4BW",52.4143524,-1.869694,,1067 Yardley Wood Road,"1067 yardley wood road, birmingham | b14 4bw,1067 yardley wood road,"
27152,PROPERTY,46-46a High Street,HS,false,Under Offer,19800,,2017-02-13T07:54:31,2010-03-30T11:46:45,"46-46a High Street, Erdington | B23 6SS",52.526722,-1.8368571,,46-46a High Street,"46-46a high street, erdington | b23 6ss,46-46a high street,"
27163,PROPERTY,130 Hawthorn Road,HS,false,Under Offer,15000,,2017-02-13T07:54:31,2010-03-31T11:50:51,"130 Hawthorn Road, Kingstanding | B44 8QT",52.5387917,-1.8813167,,130 Hawthorn Road,"130 hawthorn road, kingstanding | b44 8qt,130 hawthorn road,"
27193,PROPERTY,22-24 Carters Green,HS,false,Under Offer,20000,,2017-02-13T07:54:31,2010-04-13T11:46:33,"22-24 Carters Green, West Bromwich | B70 9LW",52.5238075,-2.0040436,,22-24 Carters Green,"22-24 carters green, west bromwich | b70 9lw,22-24 carters green,"
27279,PROPERTY,534 Bearwood Road,HS,false,Under Offer,18000,,2017-02-13T07:54:32,2010-03-31T12:42:38,"534 Bearwood Road, Smethwick | B66 4BX",52.4759026,-1.9696982,1166,534 Bearwood Road,"534 bearwood road, smethwick | b66 4bx,534 bearwood road,"
29506,PROPERTY,"ESU3, Lower Level",SC,true,To Let,87250,,2020-05-04T14:11:32,2013-08-01T11:58:10,Birmingham | B5 4BU,52.4777985,-1.8934,1650,"ESU3, Lower Level, The Bullring Estate","birmingham | b5 4bu,esu3, lower level, the bullring estate,"
30254,PROPERTY,534 Bearwood Road,HS,false,Under Offer,,,2017-02-13T07:54:55,2010-09-02T15:40:45,"534 Bearwood Road, Smethwick | B66 4BX",52.4761734,-1.969346,,534 Bearwood Road,"534 bearwood road, smethwick | b66 4bx,534 bearwood road,"
32476,PROPERTY,Unit 1,SC,false,Under Offer,,,2018-03-12T13:56:46,2010-12-07T14:16:07,"Ownall Road, Birmingham | B34 7AJ",52.4946327,-1.777532,1400,"Unit 1, All Saints Square","ownall road, birmingham | b34 7aj,unit 1, all saints square,"
32479,PROPERTY,Unit 4,SC,false,Under Offer,,,2018-03-12T13:56:58,2010-12-07T14:28:03,"Ownall Road, Birmingham | B34 7AJ",52.4946327,-1.777532,1013,"Unit 4, All Saints Square","ownall road, birmingham | b34 7aj,unit 4, all saints square,"
32483,PROPERTY,Unit 8,SC,false,Under Offer,,,2018-03-12T13:57:14,2010-12-07T14:23:23,"Ownall Road, Birmingham | B34 7AJ",52.4946327,-1.777532,630,"Unit 8, All Saints Square","ownall road, birmingham | b34 7aj,unit 8, all saints square,"
32484,PROPERTY,Unit 9,SC,false,Under Offer,,,2018-03-12T13:57:18,2010-12-07T14:24:44,"Ownall Road, Birmingham | B34 7AJ",52.4946327,-1.777532,695,"Unit 9, All Saints Square","ownall road, birmingham | b34 7aj,unit 9, all saints square,"
32485,PROPERTY,Unit 10,SC,false,Under Offer,,,2018-03-12T13:57:21,2010-12-07T14:25:50,"Ownall Road, Birmingham | B34 7AJ",52.4946327,-1.777532,774,"Unit 10, All Saints Square","ownall road, birmingham | b34 7aj,unit 10, all saints square,"
32486,PROPERTY,Unit 11,SC,false,Under Offer,,,2018-03-12T13:57:25,2010-12-07T14:26:46,"Ownall Road, Birmingham | B34 7AJ",52.4946327,-1.777532,1160,"Unit 11, All Saints Square","ownall road, birmingham | b34 7aj,unit 11, all saints square,"
34998,PROPERTY,"Unit 42, The Parade",SC,true,To Let,95000,,2021-03-09T15:31:50,2016-06-17T14:44:06,"210a Parade, Sutton Coldfield | B72 1PA",52.5621986,-1.8249,5462,"Unit 42, The Parade, Gracechurch Centre","210a parade, sutton coldfield | b72 1pa,unit 42, the parade, gracechurch centre,"
35000,PROPERTY,Unit 162,SC,true,To Let,,,2021-03-09T15:31:50,2016-05-12T11:09:26,"210a Parade, Sutton Coldfield | B72 1PA",52.5621986,-1.8249,1306,"Unit 162, Gracechurch Centre","210a parade, sutton coldfield | b72 1pa,unit 162, gracechurch centre,"
35285,PROPERTY,Unit 200,SC,true,To Let,,,2021-03-09T15:31:50,2016-05-12T11:03:34,"210a Parade, Sutton Coldfield | B72 1PA",52.5621986,-1.8249,895,"Unit 200, Gracechurch Centre","210a parade, sutton coldfield | b72 1pa,unit 200, gracechurch centre,"
35355,PROPERTY,Unit 50 The Parade,SC,true,Under Offer,,,2021-03-09T15:31:50,2016-05-12T10:13:16,"210a Parade, Sutton Coldfield | B72 1PA",52.5621986,-1.8249,2579,"Unit 50 The Parade, Gracechurch Centre","210a parade, sutton coldfield | b72 1pa,unit 50 the parade, gracechurch centre,"
35356,PROPERTY,Unit 52 The Parade,SC,true,Under Offer,,,2021-03-09T15:31:50,2016-05-12T10:13:47,"210a Parade, Sutton Coldfield | B72 1PA",52.5621986,-1.8249,2029,"Unit 52 The Parade, Gracechurch Centre","210a parade, sutton coldfield | b72 1pa,unit 52 the parade, gracechurch centre,"
35357,PROPERTY,Unit 54 The Parade,SC,true,Under Offer,,,2021-03-09T15:31:50,2016-05-12T11:01:43,"210a Parade, Sutton Coldfield | B72 1PA",52.5621986,-1.8249,488,"Unit 54 The Parade, Gracechurch Centre","210a parade, sutton coldfield | b72 1pa,unit 54 the parade, gracechurch centre,"
35360,PROPERTY,Unit 152-153,SC,true,To Let,,,2021-03-09T15:31:50,2016-05-12T10:22:03,"210a Parade, Sutton Coldfield | B72 1PA",52.5621986,-1.8249,7400,"Unit 152-153, Gracechurch Centre","210a parade, sutton coldfield | b72 1pa,unit 152-153, gracechurch centre,"
35363,PROPERTY,Unit 146,SC,true,To Let,,,2021-03-09T15:31:50,2016-05-12T10:21:36,"210a Parade, Sutton Coldfield | B72 1PA",52.5621986,-1.8249,3471,"Unit 146, Gracechurch Centre","210a parade, sutton coldfield | b72 1pa,unit 146, gracechurch centre,"
36098,PROPERTY,Unit B2,RW,false,To Let,,,2018-08-02T11:23:24,2011-09-16T19:34:39,"Reedswood Way, Walsall | WS2 8XA",52.5960999,-2.0016999,10000,"Unit B2, Reedswood Retail Park","reedswood way, walsall | ws2 8xa,unit b2, reedswood retail park,"
40680,PROPERTY,Unit 14,RW,false,To Let,,,2019-11-15T09:47:11,2012-08-08T12:34:21,"Watson Road, Birmingham | B7 5SA",52.5055008,-1.8565,6735,"Unit 14, Star City","watson road, birmingham | b7 5sa,unit 14, star city,"
44935,PROPERTY,Unit 16,SC,false,To Let,35000,,2020-08-18T12:26:09,2015-09-17T09:54:57,"Colmore Row, Birmingham | B2 5HU",52.4818001,-1.8973,430,"Unit 16, Great Western Arcade","colmore row, birmingham | b2 5hu,unit 16, great western arcade,"
44943,PROPERTY,Unit 13,SC,false,To Let,18500,,2020-02-17T22:54:23,2015-09-17T09:54:31,"Colmore Row, Birmingham | B2 5HU",52.4818001,-1.8973,609,"Unit 13, Great Western Arcade","colmore row, birmingham | b2 5hu,unit 13, great western arcade,"
45348,PROPERTY,Unit 12B,SC,false,To Let,,,2019-04-10T10:11:54,2013-03-20T14:25:29,"Broadway Plaza, Birmingham | B16 8LP",52.4734993,-1.9217,1356,"Unit 12B, Broadway Plaza","broadway plaza, birmingham | b16 8lp,unit 12b, broadway plaza,"
45461,PROPERTY,4,RW,false,To Let,,,2019-07-25T16:19:06,2014-04-24T16:12:13,"Keyway Retail Park, Willenhall | WV13 2QU",52.5771484,-2.0465069,4000,"4, Keyway Retail Park","keyway retail park, willenhall | wv13 2qu,4, keyway retail park,"
