109651,PROPERTY,72-74 SMALLBROOK QUEENSWAY,HS,false,To Let,,,2021-03-12T16:06:54,2021-03-12T15:58:48,Birmingham | B5 4EG,52.476238527,-1.897524159,6799,72-74 SMALLBROOK QUEENSWAY,"birmingham | b5 4eg,72-74 smallbrook queensway,"
109656,PROPERTY,59-65 John Bright Street,LE,false,Under Offer,,,2021-03-12T16:06:54,2021-03-12T15:59:01,Birmingham | B1 1BL,52.476664452,-1.901513182,5015,59-65 John Bright Street,"birmingham | b1 1bl,59-65 john bright street,"
109665,PROPERTY,,LE,false,Under Offer,,,2021-03-12T15:59:25,2021-03-12T15:59:25,"Brewmasters, Birmingham | B1 2EA",52.478838444,-1.910799185,3642,,"brewmasters, birmingham | b1 2ea,,"
109667,PROPERTY,Brewmasters,LE,false,Under Offer,,,2021-03-12T16:07:02,2021-03-12T16:06:54,"ICC, Birmingham | B1 2EA",52.478838444,-1.910799185,3642,Brewmasters,"icc, birmingham | b1 2ea,brewmasters,"
109668,PROPERTY,Unit 6,RW,false,To Let,,,2021-03-12T16:07:03,2021-03-12T16:07:02,"ICC, Birmingham | B1 2EA",52.478838444,-1.910799185,720,Unit 6,"icc, birmingham | b1 2ea,unit 6,"
109669,PROPERTY,Unit 1A,LE,false,To Let,,,2021-03-12T16:07:12,2021-03-12T16:07:03,"Utilita Arena Birmingham, Birmingham | B1 2AA",52.479893326,-1.914919876,3305,"Unit 1A, Arena Central","utilita arena birmingham, birmingham | b1 2aa,unit 1a, arena central,"
109670,PROPERTY,Various Units,RW,false,To Let,,,2021-03-12T16:07:13,2021-03-12T16:07:12,"National Exhibition Centre, Birmingham | B40 1NT",52.451919912,-1.719631395,6000,Various Units,"national exhibition centre, birmingham | b40 1nt,various units,"
109680,PROPERTY,Unit 18,SC,false,Under Offer,,,2021-03-12T16:07:34,2021-03-12T16:07:33,"Churchill Shopping Centre, Dudley | DY2 7BJ",52.510660353,-2.080602407,1261,"Unit 18, Churchill Shopping Centre","churchill shopping centre, dudley | dy2 7bj,unit 18, churchill shopping centre,"
109681,PROPERTY,Unit 9,SC,false,Under Offer,,,2021-03-12T16:07:36,2021-03-12T16:07:34,"Churchill Shopping Centre, Dudley | DY2 7BL",52.510327671,-2.081125649,1533,"Unit 9, Churchill Shopping Centre","churchill shopping centre, dudley | dy2 7bl,unit 9, churchill shopping centre,"
109682,PROPERTY,Unit 14,SC,false,To Let,,,2021-03-12T16:07:38,2021-03-12T16:07:36,"Churchill Shopping Centre, Dudley | DY2 7BL",52.510327671,-2.081125649,1024,"Unit 14, Churchill Shopping Centre","churchill shopping centre, dudley | dy2 7bl,unit 14, churchill shopping centre,"
